Team,Conference,Primary Source,Secondary Source,Native RSS Available?,Fallback Available?,Confidence
Florida International,Conference USA,,,no,no,low
Florida State,ACC,WTXL ABC 27 Tallahassee News,WESH,yes,yes,high
Fresno State,Pac-12,kmph.com,Fresno Bee,yes,yes,high
Georgia,SEC,Dawg Post,WSB-TV,no,yes,high
Georgia Southern,Sun Belt,Statesboro Herald,WJCL,yes,yes,high
Georgia State,Sun Belt,WSB-TV,instagram.com,no,yes,medium
Georgia Tech,ACC,Atlanta News First,WSB-TV,yes,yes,high
Hawai'i,Mountain West,,,no,no,low
Houston,Big 12,Houston Chronicle,Houston Public Media,yes,yes,high
Illinois,Big Ten,The News-Gazette,WAND-TV,no,yes,high
Indiana,Big Ten,The Herald-Times,WANE 15,yes,yes,high
Iowa,Big Ten,The Des Moines Register,KCCI,no,yes,high
Iowa State,Big 12,The Des Moines Register,KCCI,yes,yes,high
Jacksonville State,Conference USA,Gadsden Times,AL.com,no,yes,high
James Madison,Sun Belt,WHSV,Sun Belt Conference,no,yes,high
Kansas,Big 12,Kansas City Star,The Topeka Capital-Journal,no,yes,high
Kansas State,Big 12,The Topeka Capital-Journal,Kansas City Star,no,yes,high
Kennesaw State,Conference USA,Atlanta News First,WSB-TV,no,yes,medium
Kent State,Mid-American,Akron Beacon Journal,News 5 Cleveland WEWS,yes,yes,high
Kentucky,SEC,The Courier-Journal,Lexington Herald Leader,yes,yes,high
LSU,SEC,WAFB,WBRZ,yes,yes,high
Liberty,Conference USA,WSET,,no,yes,high
Louisiana,Sun Belt,KATC,KLFY.com,yes,yes,high
Louisiana Tech,Sun Belt,,,no,no,low
Louisville,ACC,The Courier-Journal,WDRB,no,yes,high
Marshall,Sun Belt,herald-dispatch.com,Charleston Gazette-Mail,no,yes,high
Maryland,Big Ten,Baltimore Sun,WMAR 2 News Baltimore,yes,yes,high
Massachusetts,Mid-American,,,no,no,low
Memphis,American Athletic,Action News 5,WREG.com,no,yes,high
Miami,ACC,Miami Herald,The Palm Beach Post,no,yes,high
Miami (OH),Mid-American,Cincinnati Enquirer,,no,yes,medium
Michigan,Big Ten,Detroit Free Press,The Detroit News,no,yes,high
Michigan State,Big Ten,Lansing State Journal,Detroit Free Press,no,yes,high
Middle Tennessee,Conference USA,The Daily News Journal,WSMV,yes,yes,high
Minnesota,Big Ten,Star Tribune,The Daily Gopher,yes,yes,high
Mississippi State,SEC,The Clarion-Ledger,cdispatch.com,yes,yes,high
Missouri,SEC,Columbia Daily Tribune,Rock M Nation,yes,yes,high
Missouri State,Conference USA,Springfield News-Leader,Springfield Daily Citizen,yes,yes,high
NC State,ACC,The Fayetteville Observer,News & Observer,no,yes,high
Navy,American Athletic,Task & Purpose,Duffel Blog,yes,yes,medium
Nebraska,Big Ten,"KOLN | Nebraska Local News, Weather, Sports | Lincoln, NE",KETV,no,yes,high
Nevada,Mountain West,Reno Gazette Journal,,no,yes,high
New Mexico,Mountain West,KOAT,Las Cruces Sun-News,no,yes,high
New Mexico State,Conference USA,Las Cruces Sun-News,,no,yes,high
North Carolina,ACC,WRAL,News & Observer,yes,yes,high
North Dakota State,Mountain West,KFYR-TV,InForum,yes,yes,high
North Texas,American Athletic,WFAA,FOX 4 News Dallas-Fort Worth,yes,yes,high
Northern Illinois,Mountain West,Chicago Tribune,,no,yes,high
Northwestern,Big Ten,Chicago Tribune,Alton Telegraph,no,yes,high
Notre Dame,FBS Independents,WNDU,South Bend Tribune,no,yes,high
Ohio,Mid-American,The Columbus Dispatch,ohiobobcats.com,no,yes,high
Ohio State,Big Ten,The Columbus Dispatch,Spectrum News,yes,yes,high
Oklahoma,SEC,News 9,Stormin in Norman,yes,yes,high
Oklahoma State,Big 12,News 9,Stillwater News Press,no,yes,high
Old Dominion,Sun Belt,WAVY.com,The Virginian-Pilot,yes,yes,medium
Ole Miss,SEC,The Clarion-Ledger,WLBT,yes,yes,high
Oregon,Big Ten,The Register-Guard,KVAL,no,yes,high
Oregon State,Pac-12,Statesman Journal,The Portland Tribune,no,yes,high
Penn State,Big Ten,York Daily Record,WJAC,yes,yes,high
Pittsburgh,ACC,Pittsburgh Post-Gazette,WPXI,yes,yes,high
Purdue,Big Ten,Journal & Courier,IndyStar,no,yes,high
Rice,American Athletic,Houston Chronicle,attheroost.com,yes,yes,high
Rutgers,Big Ten,Asbury Park Press,NJ.com,no,yes,high
SMU,ACC,Dallas News,,no,yes,high
Sacramento State,Mid-American,KCRA,,no,yes,high
Sam Houston,Conference USA,KBTX News 3,,no,yes,high
San Diego State,Pac-12,San Diego Union-Tribune,Times of San Diego,yes,yes,high
San José State,Mountain West,,,no,no,low
South Alabama,Sun Belt,AL.com,,no,yes,medium
South Carolina,SEC,FOX Carolina News,Post and Courier,no,yes,high
South Florida,American Athletic,Sarasota Herald-Tribune,wtsp.com,yes,yes,high
Southern Miss,Sun Belt,WDAM-TV,The Clarion-Ledger,no,yes,high
Stanford,ACC,San Francisco Chronicle,The Mercury News,yes,yes,high
Syracuse,ACC,Spectrum News,Syracuse.com,no,yes,high
TCU,Big 12,Fort Worth Star-Telegram,WFAA,yes,yes,high
Temple,American Athletic,The Temple News,PA Football News,yes,yes,high
Tennessee,SEC,Knoxville News Sentinel,WBIR,yes,yes,high
Texas,SEC,KXAN Austin,Houston Chronicle,no,yes,high
Texas A&M,SEC,KBTX News 3,Austin American-Statesman,no,yes,high
Texas State,Pac-12,The University Star,Austin American-Statesman,yes,yes,high
Texas Tech,Big 12,Lubbock Avalanche-Journal,KCBD,no,yes,high
Toledo,Mid-American,WTOL,Toledo Blade,yes,yes,high
Troy,Sun Belt,Sun Belt Conference,The Troy Messenger,no,yes,medium
Tulane,American Athletic,WGNO,WWLTV.com,yes,yes,high
Tulsa,American Athletic,News On 6,Tulsa World,yes,yes,high
UAB,American Athletic,WBRC,NBC News,no,yes,high
UCF,Big 12,Orlando Sentinel,Daytona Beach News-Journal,no,yes,high
UCLA,Big Ten,Los Angeles Daily News,Los Angeles Times,yes,yes,high
UConn,FBS Independents,WFSB,WTNH.com,no,yes,high
UL Monroe,Sun Belt,,,no,no,low
UNLV,Mountain West,Las Vegas Review-Journal,Las Vegas Sun,yes,yes,high
USC,Big Ten,Los Angeles Times,NBC Los Angeles,yes,yes,high
UTEP,Mountain West,El Paso Times,KTSM 9 News,yes,yes,high
UTSA,American Athletic,,,no,no,low
Utah,Big 12,The Salt Lake Tribune,KSL Sports,yes,yes,high
Utah State,Pac-12,KSL Sports,Deseret News,yes,yes,high
Vanderbilt,SEC,Knoxville News Sentinel,Nashville Post,no,yes,high
Virginia,ACC,WTVR.com,WRIC ABC 8News,yes,yes,high
Virginia Tech,ACC,WSLS,WCYB,yes,yes,high
Wake Forest,ACC,,,no,no,low
Washington,Big Ten,The Seattle Times,dailyuw.com,yes,yes,high
Washington State,Pac-12,The Seattle Times,Moscow-Pullman Daily News,yes,yes,high
West Virginia,Big 12,WV News,WBOY.com,no,yes,high
Western Kentucky,Conference USA,Bowling Green Daily News,WBKO,no,yes,high
Western Michigan,Mid-American,MLive.com,,no,yes,medium
Wisconsin,Big Ten,Badger Observer,Milwaukee Journal Sentinel,yes,yes,high
Wyoming,Mountain West,7220sports.com,WyomingNews.com,no,yes,medium
